code,year,tmin,tmax,tmean,domin,domax,domean,bodmin,bodmax,bodmean,phmin,phmax,phmean,cmin,cmax,cmean,nmin,nmax,nmean,fcmin,fcmax,fcmean,tcmin,tcmax,tcmean
1291,2005,10,18,14,8.2,11,9.225,0.3,1,0.6,7.88,8.4,8.145,191,323,250,0.07,0.45,0.263,7,33,17,17,94,48
1291,2006,11,13,12,8,9.5,8.8,0.3,0.6,0.5,8.01,8.1,8.06,194,247,221,0,0.5,0.2,9,9,9,17,920,469
1291,2007,10,21,17,8.2,10,9.2,0.5,1.2,0.8,7.7,8,7.9,281,353,319,0.05,0.2,0.13,7,27,14,27,2400,926
1291,2008,12,27,18.9,7.4,12,9.2,12,30,21,7.7,8.3,8,191,419,278,0,0,0,350,500,425,900,900,900
1291,2009,12,26,19.5,7.8,10,8.7,58,70,64,7.8,8.1,8,175,371,248,0,0,0,1600,1600,1600,1600,1600,1600
1291,2010,6,13,10.8,8.8,10.6,9.5,10,28,19,7.3,7.6,7.4,48,157,91,0,0,0,500,500,500,900,1600,1250
1291,2011,12,31,18,8.3,9.5,8.8,26,32,29,7.6,8.4,8.1,136,233,193,0,0,0,170,300,235,500,500,500
1291,2012,9,21,15,7.4,10.8,9,28,39,33.5,8,8.4,8.2,132,259,194,0,0,0,240,240,240,500,500,500
1291,2013,6,28,15.5,7.7,10.7,8.9,4,43,18.9,7.9,9.3,8.4,122,270,184,0.62,13,7.6,4,4,4,920,1600,1147
1291,2014,8,25,13,8.7,9.7,9.1,0.5,8,3.6,7.8,8.6,8.2,94,425,193,1,0,1,120,630,258,700,1800,1242
1292,2003,18,31,27,4.3,7,5.6,2.9,4.1,3.3,8,8.3,8.1,350,730,540,0.08,0.16,0.135,9,150,49,28,2400,712
1292,2004,25,29,27,7.3,8,7.7,0.7,1.5,1.1,8.1,8.2,8.1,172,286,229,,,,2,2,2,11,14,13
1292,2005,27,27,27,7,8,7.65,0.4,1.4,0.975,7.81,8.6,8.328,132,198,168.8,0.22,0.51,0.37,2,2,2,2,46,22
1292,2006,21,27,24,7.3,9.5,8.4,0.7,0.8,0.8,7.7,8.2,7.95,206,215,211,0.2,0.2,0.2,2,6,4,27,34,31
1292,2007,17,26,21,6.8,8.6,7.8,0.2,0.7,0.4,8,8.9,8.3,129,186,168,0.1,0.45,0.23,4,17,9,9,34,27
1292,2008,6,25,17.5,7.2,10.2,8.6,1,2.8,1.7,7.7,8.4,7.9,116,260,191,1.6,5.66,3,70,500,183,110,1200,461
1292,2009,16.4,29,24.1,7.4,9.6,8.5,1.8,2.8,2.4,7.6,8.3,8,142,245,188,0.84,6.68,4,60,600,298,180,1200,698
1292,2010,8,20,16.8,8.5,11.1,9.3,1.3,2.8,2.3,7.7,8.5,8.1,176,355,244,1.6,4.96,4,31,1400,421,200,2400,852
1292,2011,14,28,22.1,6.8,9.9,8.1,0.2,3.6,1.8,6.9,8.9,8.2,139,216,165,0.32,2.26,1,20,3100,517,80,3500,1640
1292,2012,15,28,21,6,9.5,7.4,0.2,1.3,0.5,8.2,8.9,8.6,153,2150,354,0.28,1,0,110,800,347,200,1700,678
1292,2013,14.5,26,19.9,0.4,9.4,7.5,1.2,6.3,3.4,7.6,9.3,8.5,147,213,185,0.036,10,5.32,240,1300,758,400,1700,1075
1292,2014,14,29,21.2,6.8,8.9,7.7,1,6.6,3.3,6.8,9.3,8.4,168,247,196,0.01,2.03,1.56,350,1100,706,600,1400,1017
1297,2003,15,22,20,7.8,8.4,8.1,3,7.5,6,7.8,9.6,8.6,688,2240,1207,,,,23,43,33,43,170,85
1297,2004,16,28,21,7.2,7.8,7.5,0.6,7.2,2.9,7.6,7.7,7.7,360,404,381,,,,70,110,97,500,500,500
